threads;size;schedule;time
8;1000;schedule(static);0.000069
8;1000;schedule(static);0.000057
8;1000;schedule(static);0.000071
8;1000;schedule(static);0.000065
8;1000;schedule(static);0.000062
8;1000;schedule(static);0.000069
8;1000;schedule(static);0.000069
8;1000;schedule(static);0.000056
8;1000;schedule(static);0.000070
8;1000;schedule(static);0.000072
8;1000;schedule(static);0.000063
8;1000;schedule(static);0.000076
8;1000;schedule(static);0.000068
8;1000;schedule(static);0.000061
8;1000;schedule(static);0.000071
8;1000;schedule(static);0.000059
8;1000;schedule(static);0.000090
8;1000;schedule(static);0.000087
8;1000;schedule(static);0.000083
8;1000;schedule(static);0.000064
8;1000;schedule(static);0.000075
8;1000;schedule(static);0.000075
8;1000;schedule(static);0.000063
8;1000;schedule(static);0.000072
8;1000;schedule(static);0.000068
8;1000;schedule(static);0.000072
8;1000;schedule(static);0.000066
8;1000;schedule(static);0.000073
8;1000;schedule(static);0.000077
1;100000;schedule(static);0.005726
1;100000;schedule(static);0.007452
1;100000;schedule(static);0.007441
1;100000;schedule(static);0.007442
1;100000;schedule(static);0.007430
1;100000;schedule(static);0.007410
1;100000;schedule(static);0.007428
1;100000;schedule(static);0.007173
1;100000;schedule(static);0.006831
1;100000;schedule(static);0.006531
1;100000;schedule(static);0.006751
1;100000;schedule(static);0.006455
1;100000;schedule(static);0.006314
1;100000;schedule(static);0.006592
1;100000;schedule(static);0.006263
1;100000;schedule(static);0.006315
1;100000;schedule(static);0.006432
1;100000;schedule(static);0.006348
1;100000;schedule(static);0.006388
1;100000;schedule(static);0.006407
1;100000;schedule(static);0.006228
1;100000;schedule(static);0.006463
1;100000;schedule(static);0.006293
1;100000;schedule(static);0.006236
1;100000;schedule(static);0.006478
1;100000;schedule(static);0.006294
1;100000;schedule(static);0.006466
1;100000;schedule(static);0.006348
1;100000;schedule(static);0.006215
1;100000;schedule(static);0.006335
1;100000;schedule(static);0.006237
1;100000;schedule(static);0.006327
1;100000;schedule(static);0.006363
1;100000;schedule(static);0.006272
1;100000;schedule(static);0.006358
1;100000;schedule(static);0.006289
1;100000;schedule(static);0.006236
1;100000;schedule(static);0.006646
1;100000;schedule(static);0.006285
1;100000;schedule(static);0.006349
1;100000;schedule(static);0.006344
1;100000;schedule(static);0.006550
1;100000;schedule(static);0.006372
1;100000;schedule(static);0.006273
1;100000;schedule(static);0.006215
1;100000;schedule(static);0.006342
1;100000;schedule(static);0.006291
1;100000;schedule(static);0.006427
1;100000;schedule(static);0.006307
1;100000;schedule(static);0.006212
1;100000;schedule(static);0.006406
1;100000;schedule(static);0.006330
1;100000;schedule(static);0.006685
1;100000;schedule(static);0.006263
1;100000;schedule(static);0.006343
1;100000;schedule(static);0.006769
1;100000;schedule(static);0.006286
1;100000;schedule(static);0.006361
1;100000;schedule(static);0.006412
1;100000;schedule(static);0.006321
1;100000;schedule(static);0.006412
1;100000;schedule(static);0.006272
1;100000;schedule(static);0.006288
1;100000;schedule(static);0.006439
1;100000;schedule(static);0.006479
1;100000;schedule(static);0.006240
1;100000;schedule(static);0.006383
1;100000;schedule(static);0.006280
1;100000;schedule(static);0.006433
1;100000;schedule(static);0.006350
1;100000;schedule(static);0.006229
1;100000;schedule(static);0.006488
